id,callsign,flightNumber,originIcao,destinationIcao,alternateIcao,atcRoute,aircraftTitle,aircraftDirectory,aircraftRegistration,aircraftIcao,aircraftCategory,distance_travelled_km,state,offBlocksTime,onBlocksTime,realBlockTime,effectiveBlockTime,realFlightTime,effectiveFlightTime,fuelBurn,plannedBlockTime,plannedFlightTime,plannedPax,plannedCargo,plannedAltitude,createdAt,dateTimeParseDate,dateTimeParseTime,dateDayOfWeek,dateTimeParseFull,countryOrigin,muniOrigin,countryDestination,muniDestination,DOWactivity,originIata,destinationIata
2c06453d-81c0-4853-ab4f-69ebc181bc61,N806SB,None,WIII,WMKK,WMKD,DOLT2C DOLTA A585 PLB G579 VJB A457 GUPTA BOBI1P,PMDG 737-800 Garuda Indonesia (PK-GFQ),PMDG 737-800,PK-GFQ,B737,Medium,1236.21546,Completed,2022-09-05T23:53:47.254,2022-09-06T01:42:56.243,6548.989,6548.989,5999,5999,5047.31561,7800,6327,130,8743,35000,2022-09-05T23:50:26.142734,06/09/2022,10:50:26,Tue,06/09/2022 10:50:26,ID,Jakarta,MY,Sepang,U,CGK,KUL
d74169fb-8154-4f03-a20a-f21b13a0d032,SIA481,SQ481,WSSS,VTBS,VTBU,VMR5E VMR B469 VPK M751 VKB M644 ALUMO Y12 DOLNI DOLN3C,Boeing 787-10 Singapore Airlines,Asobo_B787_10,9V-SCC,B78X,Heavy,1527.80199,Completed,2023-03-24T23:14:10.225,2023-03-25T01:12:56.226,7106.01794,7106.01794,6654.01594,6654.01594,11801.107,8700,6847,240,23987,38000,2023-03-24T23:10:37.674995,25/03/2023,10:10:37,Sat,25/03/2023 10:10:37,SG,Singapore,TH,Bangkok,F,SIN,BKK
9fc770b1-8de7-487b-a061-0d716fc253ea,ASCOT391,RAF391,WMKK,VTBS,VTBU,PIBO1C PIBOS R208 MATSU Y345 GUGIT M751 REGOS A464 GUTSO LEBI3C,Airbus A330-900neo RAF Voyager,Headwind_A330neo,ZZ336,A339,Heavy,1368.95947,Completed,2022-05-23T10:21:51.107,2022-05-23T12:17:58.108,6967.001,6967.001,6434.001,6434.001,10939.2149,8100,6433,0,20400,37000,2022-05-23T10:18:39.524597,23/05/2022,21:18:39,Mon,23/05/2022 21:18:39,MY,Sepang,TH,Bangkok,U,KUL,BKK
586c5713-d311-4aa3-8343-6903feca4144,GAF21N,GAF21N,EYVI,EDDB,EKCH,UPAS1A UPASI DCT VABER L735 GOVEN T205 NUKRO NUK25L,Airbus A320 Neo Luftwaffe 15+11 (A32NX Converted),FlyByWire_A320_NEO,‎‎‎,A20N,Medium,989.266523,Completed,2022-05-04T11:47:10.147,2022-05-04T13:23:24.137,5773.99,5773.99,5324.001,5324.001,2515.17906,7200,5345,0,15200,37000,2022-05-04T11:34:01.92634,04/05/2022,22:34:01,Wed,04/05/2022 22:34:01,LT,Vilnius,DE,Berlin,M,VNO,BER
ba1f2437-6906-4feb-9ea6-9c05689eb56a,LNI425,JT425,WIII,WITT,WIMM,DOLT2B DOLTA A585 MDN W12 JILAT DCT OPUNG DCT,Airbus A330-900neo LION LEI,Headwind_A330neo,PK-LEI,A339,Heavy,1910.14175,Completed,2022-05-28T04:13:42.912,2022-05-28T06:39:48.901,8765.989,8765.989,8304.999,8304.999,15320.673,10500,8825,0,44495,36000,2022-05-28T04:06:56.282554,28/05/2022,15:06:56,Sat,28/05/2022 15:06:56,ID,Jakarta,ID,Banda Aceh,W,CGK,BTJ
a1f79e62-47f2-4cee-82d9-11fe4717e569,SIA943,SQ943,WSSS,WIII,WIHH,ANIT7F ANITO B470 PKP W26 BOSLO B470 BUNIK BUNI2F,Airbus A330-900neo Singapore Airlines ,Headwind_A330neo,9V-SSP,A339,Heavy,4872.31346,Completed,2022-07-18T09:57:31.611,2022-07-18T11:27:10.6,5378.989,5378.989,4850.999,4850.999,7155.82665,6900,5052,201,18020,34000,2022-07-18T09:35:57.965881,18/07/2022,20:35:57,Mon,18/07/2022 20:35:57,SG,Singapore,ID,Jakarta,U,SIN,CGK
9ed1fc89-713d-4017-9fd9-b93e441f4a41,UPS4127,5X4127,EFHK,EKCH,EDDH,NUNT4D NUNTO Y369 REKDO DCT ELVIX L975 TIDVU TIDV1C,Boeing 747-8i UPS N616UP,SALTY_B747_8i,N616UP,B748,Heavy,999.858597,Completed,2022-05-20T10:00:43.516,2022-05-20T11:36:29.517,5746.001,5746.001,5111.001,5111.001,14114.7061,6900,5221,0,54600,37000,2022-05-20T09:54:32.468953,20/05/2022,20:54:32,Fri,20/05/2022 20:54:32,FI,Helsinki,DK,Copenhagen,W,HEL,CPH
f01408a4-9e2b-43e6-bbf5-902089d6d05f,BTK318,ID318,WIII,WIMM,WMKK,DOLT2B DOLTA A585 PKU W12 MEDIA MEDI2C,FBW Batik Air PK-BDF,FlyByWire_A320_NEO,PK-BDF,A20N,Medium,1446.90245,Completed,2022-08-10T09:53:42.766,2022-08-10T11:56:08.756,7345.99,7345.99,6793,6793,4098.34045,9000,7063,136,9119,36000,2022-08-10T09:50:12.016785,10/08/2022,20:50:12,Wed,10/08/2022 20:50:12,ID,Jakarta,ID,Bandara Kuala Namu,U,CGK,KNO
9050ee00-a908-42ad-ad07-74e02ba69201,LAN508,LA508,SAEZ,SCEL,SAME,TORUL1 URINO UL405 TOSOR UT687 UMKAL UMKA5C,Airbus A321Neo LATAM,aircrafta321neopw,CC-BEM,A21N,Medium,1258.35762,Completed,2022-10-19T20:15:25.82,2022-10-19T22:05:33.82,6608,6608,6210.001,6210.001,3848.53379,8700,6367,174,7350,36000,2022-10-19T20:10:54.805996,20/10/2022,07:10:54,Thu,20/10/2022 07:10:54,AR,Buenos Aires (Ezeiza),CL,Santiago,H,EZE,SCL
cbef13f4-de28-48c9-b3ce-e5ae9ab213da,BNZ415,AB415,YMML,YBRK,YBTL,NONIX3 NONIX H66 TW W684 IVL W207 OK W347 SUSGI DCT DADBO DADBO1,PMDG 737-800 Bonza [VH-UJT - 2022],PMDG 737-800,VH-UJT,B738,Medium,1877.136,Completed,2023-04-04T00:13:42.433,2023-04-04T02:50:26.432,9380.00833,9380.00833,8599.01033,8599.01033,6773.27008,10200,8595,169,6302,37000,2023-04-04T00:09:16.380095,04/04/2023,11:09:16,Tue,04/04/2023 11:09:16,AU,Melbourne,AU,Rockhampton,U,MEL,ROK
